t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
SDSS J163050.01+005101.3,N,11,247.7072,0.8487,DESI-DR1,"[""2022-04-29 10:10:03.214"",""2022-04-29 10:27:13.092""]",0.8494627179133302,DESI,247.7077981512453,39627807000632154,1,GALAXY,kp4m,3.489298880992663
SDSS J163256.13+350507.2,N,11,248.2344,35.0851,BOSS-DR16,"[""2011-08-29 04:06:42"",""2011-08-29 04:06:42""]",35.085158,BOSS,248.2341699999999,5841339513239261184,1,STAR,sloan25m,0.7089947080351814
SDSS J163355.23+010027.0,N,10,248.4803,1.0081,SDSS-DR16,"[""2000-05-07 00:00:00"",""2000-05-07 00:00:00""]",1.0075441,SDSS,248.48017,391927819703183360,1,STAR,sloan25m,2.055217209511017
2MASS J16351919+4223053,N,8,248.8295,42.3848,SDSS-DR16,"[""2001-06-23 00:00:00"",""2001-06-23 00:00:00""]",42.384809,SDSS,248.82994,707174852729006080,1,STAR,sloan25m,1.1704450202383239
SDSS J163655.90+002526.4,N,11,249.2328,0.4239,SDSS-DR16,"[""2000-05-07 00:00:00"",""2000-05-07 00:00:00""]",0.42401235,SDSS,249.23294,391963553831086080,1,STAR,sloan25m,0.6462120272280357
SDSS J163748.65+275254.6,N,10,249.4517,27.8815,BOSS-DR16,"[""2011-05-04 10:09:55"",""2011-05-04 10:09:55""]",27.881597,BOSS,249.45216,4717713394479943680,1,STAR,sloan25m,1.5048420679140488
SDSS J163817.31+321144.0,N,10,249.5717,32.1956,BOSS-DR16,"[""2011-09-02 02:53:07"",""2011-09-02 02:53:07""]",32.195388,BOSS,249.5718,5857155163723419648,1,STAR,sloan25m,0.8217557958088566
2MASS J16403197+1231068,N,-9,250.1318,12.5177,DESI-DR1,"[""2022-05-13 09:13:50.045"",""2022-05-13 09:13:50.045""]",12.51790374571291,DESI,250.1321297984573,39628088748803947,1,STAR,kp4m,1.3716412668731968
SDSS J164230.27+202048.1,N,11,250.6258,20.3468,BOSS-DR16,"[""2010-09-07 03:42:24"",""2010-09-07 03:42:24""]",20.346679,BOSS,250.62598,4709693277779283968,1,STAR,sloan25m,0.7475872933498026
SDSS J164238.60+330855.6,N,10,250.6605,33.149,DESI-DR1,"[""2022-06-12 06:55:55.168"",""2022-06-12 06:55:55.168""]",33.14891364085236,DESI,250.6606134743352,39632946755276336,1,GALAXY,kp4m,0.462206277789633
SDSS J164438.14+284614.5,N,12,251.1584,28.7707,BOSS-DR16,"[""2011-04-28 09:26:49"",""2011-04-28 09:26:49""]",28.770587,BOSS,251.15886,4716574575194034176,1,STAR,sloan25m,1.5074975159550983
SDSS J164439.66+260013.3,N,11,251.1655,26.0045,BOSS-DR16,"[""2010-09-13 02:22:55"",""2010-09-13 02:22:55""]",26.003983,BOSS,251.16546,4712018195485315072,1,STAR,sloan25m,1.8656943502254673
2MASS J16452207+3004071,N,13,251.3415,30.0682,BOSS-DR16,"[""2011-09-25 02:03:54"",""2011-09-25 02:03:54""]",30.068321,BOSS,251.34175,5855809361625239552,1,STAR,sloan25m,0.8924186588546323
SDSS J164540.16+290744.4,N,10,251.4174,29.1291,SDSS-DR16,"[""2003-06-02 00:00:00"",""2003-06-02 00:00:00""]",29.128993,SDSS,251.41735,1511028090585769984,1,STAR,sloan25m,0.4160549959485695
SDSS J164748.33+190933.7,N,10,251.9515,19.1595,SDSS-DR16,"[""2004-06-13 00:00:00"",""2004-06-13 00:00:00""]",19.159371,SDSS,251.95137,1765495769491597312,0,STAR,sloan25m,0.6411703599409716
2MASS J16490419+0444571,N,8,252.2678,4.7496,DESI-DR1,"[""2021-06-14 07:14:37.643"",""2021-06-16 07:16:22.602""]",4.7492,DESI,252.2675,2376449696727040,1,STAR,kp4m,1.797777455225896
SDSS J164911.16+300048.3,N,11,252.2964,30.0135,SDSS-DR16,"[""2003-05-30 00:00:00"",""2003-05-30 00:00:00""]",30.013434,SDSS,252.2965,1512147943128328192,0,STAR,sloan25m,0.3919532827737989
SDSS J165031.33+352359.5,N,12,252.6301,35.3998,DESI-DR1,"[""2021-05-01 10:29:28.547"",""2021-05-04 11:23:56.173""]",35.39980336203564,DESI,252.6301865241303,39632991726601501,0,GALAXY,kp4m,0.2541905441167961
SDSS J165301.98+413847.5,N,10,253.2579,41.646,DESI-DR1,"[""2021-06-14 08:20:12.434"",""2021-06-14 08:20:12.434""]",41.64603624493754,DESI,253.2581739698849,39633109875951296,1,STAR,kp4m,0.7484818915722861
